VentaID,Fecha,ProductoID,TiendaID,Cantidad,PrecioUnitario,Ingreso,StockActual,NombreTienda,Ciudad,Canal,NombreProducto,Categoría,CostoUnitario,Mes,Mes_Nombre,Margen
21,2024-12-11,7,9,1,326.05,326.05,191,Tienda 9,Nobleside,Físico,Hogar East 7,Hogar,25.6,12,December,300.45
22,2025-02-18,10,4,1,48.13,48.13,184,Tienda 4,Murphyshire,Físico,Hogar Occur 10,Hogar,44.91,2,February,3.220000000000006
23,2025-04-06,17,9,2,424.42,848.84,70,Tienda 9,Nobleside,Físico,Ropa Another 17,Ropa,146.82,4,April,277.6
24,2025-03-04,1,8,1,275.4,275.4,10,Tienda 8,Rushton,Físico,Electrónica Blue 1,Electrónica,116.96,3,March,158.44
25,2025-02-08,49,8,5,336.82,1684.1,168,Tienda 8,Rushton,Físico,Deportes Bag 49,Deportes,107.5,2,February,229.32
26,2025-03-08,25,5,3,79.54,238.62,73,Tienda 5,New Kristen,Físico,Deportes Spring 25,Deportes,43.45,3,March,36.09
27,2025-02-25,14,6,5,331.85,1659.25,171,Tienda 6,Smithstad,Online,Ropa Cell 14,Ropa,274.44,2,February,57.410000000000025
28,2025-02-23,7,6,3,326.05,978.15,191,Tienda 6,Smithstad,Online,Hogar East 7,Hogar,25.6,2,February,300.45
29,2025-03-08,3,5,3,258.87,776.61,85,Tienda 5,New Kristen,Físico,Deportes Notice 3,Deportes,21.45,3,March,237.42000000000002
30,2024-12-13,46,7,4,95.12,380.48,56,Tienda 7,West Chadborough,Online,Electrónica All 46,Electrónica,315.94,12,December,-220.82
31,2025-05-20,36,8,1,331.35,331.35,67,Tienda 8,Rushton,Físico,Electrónica Around 36,Electrónica,39.18,5,May,292.17
32,2024-12-30,35,6,1,379.7,379.7,39,Tienda 6,Smithstad,Online,Deportes Law 35,Deportes,109.89,12,December,269.81
33,2024-12-17,4,5,1,467.99,467.99,135,Tienda 5,New Kristen,Físico,Electrónica Five 4,Electrónica,265.94,12,December,202.05
34,2025-03-18,49,10,5,336.82,1684.1,168,Tienda 10,Frederickburgh,Físico,Deportes Bag 49,Deportes,107.5,3,March,229.32
35,2025-03-16,25,7,2,79.54,159.08,73,Tienda 7,West Chadborough,Online,Deportes Spring 25,Deportes,43.45,3,March,36.09
36,2024-11-21,11,10,2,401.47,802.94,168,Tienda 10,Frederickburgh,Físico,Juguetes Seat 11,Juguetes,302.7,11,November,98.77000000000004
37,2025-05-05,33,3,4,348.54,1394.16,157,Tienda 3,South Anthony,Online,Electrónica Significant 33,Electrónica,261.94,5,May,86.60000000000002
38,2025-01-22,23,2,2,312.51,625.02,133,Tienda 2,South Natasha,Físico,Deportes About 23,Deportes,177.18,1,January,135.32999999999998
39,2024-12-18,30,7,4,467.99,1871.96,158,Tienda 7,West Chadborough,Online,Electrónica Character 30,Electrónica,32.57,12,December,435.42
40,2024-12-19,49,3,3,336.82,1010.46,168,Tienda 3,South Anthony,Online,Deportes Bag 49,Deportes,107.5,12,December,229.32
41,2025-02-18,40,2,4,245.98,983.92,156,Tienda 2,South Natasha,Físico,Deportes Specific 40,Deportes,65.72,2,February,180.26
42,2024-12-25,43,3,2,370.51,741.02,148,Tienda 3,South Anthony,Online,Deportes Market 43,Deportes,63.95,12,December,306.56
43,2025-04-07,17,10,3,424.42,1273.26,70,Tienda 10,Frederickburgh,Físico,Ropa Another 17,Ropa,146.82,4,April,277.6
44,2025-04-27,42,4,2,66.76,133.52,54,Tienda 4,Murphyshire,Físico,Juguetes Inside 42,Juguetes,271.07,4,April,-204.31
45,2025-01-13,38,6,2,392.0,784.0,100,Tienda 6,Smithstad,Online,Electrónica Budget 38,Electrónica,112.89,1,January,279.11
46,2025-02-23,30,9,4,467.99,1871.96,158,Tienda 9,Nobleside,Físico,Electrónica Character 30,Electrónica,32.57,2,February,435.42
47,2025-03-26,42,3,2,66.76,133.52,54,Tienda 3,South Anthony,Online,Juguetes Inside 42,Juguetes,271.07,3,March,-204.31
48,2024-12-11,26,7,5,179.17,895.85,30,Tienda 7,West Chadborough,Online,Juguetes Team 26,Juguetes,53.57,12,December,125.6
49,2025-03-03,18,1,2,256.49,512.98,180,Tienda 1,New Michael,Online,Ropa Leave 18,Ropa,323.94,3,March,-67.44999999999999
50,2024-12-09,25,9,5,79.54,397.7,73,Tienda 9,Nobleside,Físico,Deportes Spring 25,Deportes,43.45,12,December,36.09
51,2024-12-24,17,6,3,424.42,1273.26,70,Tienda 6,Smithstad,Online,Ropa Another 17,Ropa,146.82,12,December,277.6
52,2025-03-12,22,1,2,390.92,781.84,66,Tienda 1,New Michael,Online,Electrónica Serve 22,Electrónica,349.9,3,March,41.02000000000004
53,2025-02-27,46,9,2,95.12,190.24,56,Tienda 9,Nobleside,Físico,Electrónica All 46,Electrónica,315.94,2,February,-220.82
54,2025-03-29,43,10,4,370.51,1482.04,148,Tienda 10,Frederickburgh,Físico,Deportes Market 43,Deportes,63.95,3,March,306.56
55,2024-11-24,20,1,2,122.66,245.32,117,Tienda 1,New Michael,Online,Hogar Reach 20,Hogar,207.12,11,November,-84.46000000000001
56,2025-01-20,32,9,4,365.56,1462.24,169,Tienda 9,Nobleside,Físico,Juguetes Song 32,Juguetes,194.76,1,January,170.8
57,2025-05-01,32,2,4,365.56,1462.24,169,Tienda 2,South Natasha,Físico,Juguetes Song 32,Juguetes,194.76,5,May,170.8
58,2025-01-29,34,6,1,219.82,219.82,93,Tienda 6,Smithstad,Online,Ropa System 34,Ropa,183.17,1,January,36.650000000000006
59,2025-01-31,47,6,1,480.93,480.93,95,Tienda 6,Smithstad,Online,Deportes Decide 47,Deportes,84.08,1,January,396.85
60,2025-03-27,27,4,4,166.94,667.76,146,Tienda 4,Murphyshire,Físico,Ropa Decade 27,Ropa,74.83,3,March,92.11
61,2025-03-03,39,7,3,201.94,605.82,13,Tienda 7,West Chadborough,Online,Ropa Sense 39,Ropa,112.96,3,March,88.98
62,2025-02-14,42,2,2,66.76,133.52,54,Tienda 2,South Natasha,Físico,Juguetes Inside 42,Juguetes,271.07,2,February,-204.31
63,2025-05-01,26,3,3,179.17,537.51,30,Tienda 3,South Anthony,Online,Juguetes Team 26,Juguetes,53.57,5,May,125.6
64,2025-05-15,24,3,4,498.41,1993.64,9,Tienda 3,South Anthony,Online,Deportes Half 24,Deportes,152.42,5,May,345.99
65,2025-03-04,2,8,2,202.19,404.38,130,Tienda 8,Rushton,Físico,Juguetes Face 2,Juguetes,62.52,3,March,139.67
66,2025-02-21,32,2,5,365.56,1827.8,169,Tienda 2,South Natasha,Físico,Juguetes Song 32,Juguetes,194.76,2,February,170.8
67,2024-11-29,40,4,2,245.98,491.96,156,Tienda 4,Murphyshire,Físico,Deportes Specific 40,Deportes,65.72,11,November,180.26
68,2025-02-21,11,4,1,401.47,401.47,168,Tienda 4,Murphyshire,Físico,Juguetes Seat 11,Juguetes,302.7,2,February,98.77000000000004
69,2024-11-24,10,7,5,48.13,240.65,184,Tienda 7,West Chadborough,Online,Hogar Occur 10,Hogar,44.91,11,November,3.220000000000006
70,2024-12-14,8,4,5,284.42,1422.1,62,Tienda 4,Murphyshire,Físico,Juguetes Seat 8,Juguetes,68.73,12,December,215.69
71,2024-12-26,4,5,4,467.99,1871.96,135,Tienda 5,New Kristen,Físico,Electrónica Five 4,Electrónica,265.94,12,December,202.05
72,2025-03-22,18,5,1,256.49,256.49,180,Tienda 5,New Kristen,Físico,Ropa Leave 18,Ropa,323.94,3,March,-67.44999999999999
73,2025-04-05,18,9,1,256.49,256.49,180,Tienda 9,Nobleside,Físico,Ropa Leave 18,Ropa,323.94,4,April,-67.44999999999999
74,2025-02-20,22,3,5,390.92,1954.6,66,Tienda 3,South Anthony,Online,Electrónica Serve 22,Electrónica,349.9,2,February,41.02000000000004
75,2025-01-08,20,7,4,122.66,490.64,117,Tienda 7,West Chadborough,Online,Hogar Reach 20,Hogar,207.12,1,January,-84.46000000000001
76,2025-04-20,39,6,4,201.94,807.76,13,Tienda 6,Smithstad,Online,Ropa Sense 39,Ropa,112.96,4,April,88.98
77,2025-04-14,19,6,3,409.56,1228.68,78,Tienda 6,Smithstad,Online,Ropa Skill 19,Ropa,95.48,4,April,314.08
78,2025-05-17,28,8,5,399.65,1998.25,200,Tienda 8,Rushton,Físico,Electrónica For 28,Electrónica,357.67,5,May,41.97999999999996
79,2024-11-27,43,5,4,370.51,1482.04,148,Tienda 5,New Kristen,Físico,Deportes Market 43,Deportes,63.95,11,November,306.56
80,2025-02-22,48,9,4,294.3,1177.2,46,Tienda 9,Nobleside,Físico,Juguetes Rule 48,Juguetes,378.19,2,February,-83.88999999999999
81,2025-02-10,24,6,5,498.41,2492.05,9,Tienda 6,Smithstad,Online,Deportes Half 24,Deportes,152.42,2,February,345.99
82,2025-04-10,50,5,2,260.09,520.18,123,Tienda 5,New Kristen,Físico,Electrónica Teacher 50,Electrónica,20.14,4,April,239.95
83,2025-03-29,28,3,2,399.65,799.3,200,Tienda 3,South Anthony,Online,Electrónica For 28,Electrónica,357.67,3,March,41.97999999999996
84,2025-03-05,24,4,3,498.41,1495.23,9,Tienda 4,Murphyshire,Físico,Deportes Half 24,Deportes,152.42,3,March,345.99
85,2025-01-06,23,4,5,312.51,1562.55,133,Tienda 4,Murphyshire,Físico,Deportes About 23,Deportes,177.18,1,January,135.32999999999998
86,2025-05-06,29,3,1,485.34,485.34,47,Tienda 3,South Anthony,Online,Ropa Art 29,Ropa,268.71,5,May,216.63
87,2024-12-08,16,4,3,461.98,1385.94,184,Tienda 4,Murphyshire,Físico,Deportes State 16,Deportes,162.94,12,December,299.04
88,2025-02-13,13,8,4,414.16,1656.64,28,Tienda 8,Rushton,Físico,Hogar Such 13,Hogar,59.12,2,February,355.04
89,2025-03-21,6,8,3,100.06,300.18,125,Tienda 8,Rushton,Físico,Electrónica Side 6,Electrónica,337.64,3,March,-237.57999999999998
90,2025-04-08,11,9,3,401.47,1204.41,168,Tienda 9,Nobleside,Físico,Juguetes Seat 11,Juguetes,302.7,4,April,98.77000000000004
91,2025-03-06,44,8,3,307.58,922.74,181,Tienda 8,Rushton,Físico,Electrónica Sell 44,Electrónica,167.65,3,March,139.92999999999998
92,2025-02-21,3,3,5,258.87,1294.35,85,Tienda 3,South Anthony,Online,Deportes Notice 3,Deportes,21.45,2,February,237.42000000000002
93,2025-01-25,27,7,4,166.94,667.76,146,Tienda 7,West Chadborough,Online,Ropa Decade 27,Ropa,74.83,1,January,92.11
94,2025-01-06,22,9,3,390.92,1172.76,66,Tienda 9,Nobleside,Físico,Electrónica Serve 22,Electrónica,349.9,1,January,41.02000000000004
95,2025-04-10,34,3,3,219.82,659.46,93,Tienda 3,South Anthony,Online,Ropa System 34,Ropa,183.17,4,April,36.650000000000006
96,2025-04-03,28,6,4,399.65,1598.6,200,Tienda 6,Smithstad,Online,Electrónica For 28,Electrónica,357.67,4,April,41.97999999999996
97,2025-01-14,34,1,4,219.82,879.28,93,Tienda 1,New Michael,Online,Ropa System 34,Ropa,183.17,1,January,36.650000000000006
98,2024-12-26,43,5,2,370.51,741.02,148,Tienda 5,New Kristen,Físico,Deportes Market 43,Deportes,63.95,12,December,306.56
99,2025-01-16,38,5,1,392.0,392.0,100,Tienda 5,New Kristen,Físico,Electrónica Budget 38,Electrónica,112.89,1,January,279.11
100,2025-03-01,50,10,1,260.09,260.09,123,Tienda 10,Frederickburgh,Físico,Electrónica Teacher 50,Electrónica,20.14,3,March,239.95
101,2025-04-12,2,5,4,202.19,808.76,130,Tienda 5,New Kristen,Físico,Juguetes Face 2,Juguetes,62.52,4,April,139.67
102,2025-01-18,37,3,1,216.61,216.61,49,Tienda 3,South Anthony,Online,Juguetes Beyond 37,Juguetes,373.71,1,January,-157.09999999999997
103,2025-04-09,5,4,5,402.4,2012.0,63,Tienda 4,Murphyshire,Físico,Electrónica Black 5,Electrónica,95.72,4,April,306.67999999999995
104,2024-11-29,11,9,1,401.47,401.47,168,Tienda 9,Nobleside,Físico,Juguetes Seat 11,Juguetes,302.7,11,November,98.77000000000004
105,2025-02-28,13,9,3,414.16,1242.48,28,Tienda 9,Nobleside,Físico,Hogar Such 13,Hogar,59.12,2,February,355.04
106,2025-03-03,12,2,2,184.91,369.82,160,Tienda 2,South Natasha,Físico,Electrónica Election 12,Electrónica,250.44,3,March,-65.53
107,2025-02-07,20,6,3,122.66,367.98,117,Tienda 6,Smithstad,Online,Hogar Reach 20,Hogar,207.12,2,February,-84.46000000000001
108,2025-03-03,33,10,2,348.54,697.08,157,Tienda 10,Frederickburgh,Físico,Electrónica Significant 33,Electrónica,261.94,3,March,86.60000000000002
109,2025-02-11,6,1,3,100.06,300.18,125,Tienda 1,New Michael,Online,Electrónica Side 6,Electrónica,337.64,2,February,-237.57999999999998
110,2024-12-29,45,2,3,295.48,886.44,164,Tienda 2,South Natasha,Físico,Juguetes Little 45,Juguetes,90.19,12,December,205.29000000000002
111,2024-11-21,40,7,1,245.98,245.98,156,Tienda 7,West Chadborough,Online,Deportes Specific 40,Deportes,65.72,11,November,180.26
112,2025-05-19,22,8,5,390.92,1954.6,66,Tienda 8,Rushton,Físico,Electrónica Serve 22,Electrónica,349.9,5,May,41.02000000000004
113,2025-03-25,12,6,3,184.91,554.73,160,Tienda 6,Smithstad,Online,Electrónica Election 12,Electrónica,250.44,3,March,-65.53
114,2025-03-25,43,10,4,370.51,1482.04,148,Tienda 10,Frederickburgh,Físico,Deportes Market 43,Deportes,63.95,3,March,306.56
115,2025-04-11,7,2,4,326.05,1304.2,191,Tienda 2,South Natasha,Físico,Hogar East 7,Hogar,25.6,4,April,300.45
116,2025-01-12,16,7,4,461.98,1847.92,184,Tienda 7,West Chadborough,Online,Deportes State 16,Deportes,162.94,1,January,299.04
117,2025-04-25,26,5,2,179.17,358.34,30,Tienda 5,New Kristen,Físico,Juguetes Team 26,Juguetes,53.57,4,April,125.6
118,2025-01-06,14,7,3,331.85,995.55,171,Tienda 7,West Chadborough,Online,Ropa Cell 14,Ropa,274.44,1,January,57.410000000000025
119,2025-05-03,2,4,4,202.19,808.76,130,Tienda 4,Murphyshire,Físico,Juguetes Face 2,Juguetes,62.52,5,May,139.67
120,2025-05-11,40,6,2,245.98,491.96,156,Tienda 6,Smithstad,Online,Deportes Specific 40,Deportes,65.72,5,May,180.26
121,2025-05-02,44,6,3,307.58,922.74,181,Tienda 6,Smithstad,Online,Electrónica Sell 44,Electrónica,167.65,5,May,139.92999999999998
122,2025-01-28,13,10,1,414.16,414.16,28,Tienda 10,Frederickburgh,Físico,Hogar Such 13,Hogar,59.12,1,January,355.04
123,2025-05-12,2,9,3,202.19,606.57,130,Tienda 9,Nobleside,Físico,Juguetes Face 2,Juguetes,62.52,5,May,139.67
124,2025-02-06,30,1,4,467.99,1871.96,158,Tienda 1,New Michael,Online,Electrónica Character 30,Electrónica,32.57,2,February,435.42
125,2024-11-27,15,2,2,483.51,967.02,135,Tienda 2,South Natasha,Físico,Ropa Statement 15,Ropa,31.13,11,November,452.38
126,2025-01-14,30,3,2,467.99,935.98,158,Tienda 3,South Anthony,Online,Electrónica Character 30,Electrónica,32.57,1,January,435.42
127,2024-11-28,14,6,1,331.85,331.85,171,Tienda 6,Smithstad,Online,Ropa Cell 14,Ropa,274.44,11,November,57.410000000000025
128,2025-02-17,19,8,4,409.56,1638.24,78,Tienda 8,Rushton,Físico,Ropa Skill 19,Ropa,95.48,2,February,314.08
129,2025-04-05,8,9,2,284.42,568.84,62,Tienda 9,Nobleside,Físico,Juguetes Seat 8,Juguetes,68.73,4,April,215.69
130,2025-02-21,8,2,2,284.42,568.84,62,Tienda 2,South Natasha,Físico,Juguetes Seat 8,Juguetes,68.73,2,February,215.69
131,2024-12-31,26,10,2,179.17,358.34,30,Tienda 10,Frederickburgh,Físico,Juguetes Team 26,Juguetes,53.57,12,December,125.6
132,2024-11-23,43,3,3,370.51,1111.53,148,Tienda 3,South Anthony,Online,Deportes Market 43,Deportes,63.95,11,November,306.56
133,2024-11-21,8,9,4,284.42,1137.68,62,Tienda 9,Nobleside,Físico,Juguetes Seat 8,Juguetes,68.73,11,November,215.69
134,2024-11-28,5,7,4,402.4,1609.6,63,Tienda 7,West Chadborough,Online,Electrónica Black 5,Electrónica,95.72,11,November,306.67999999999995
135,2025-02-11,15,1,2,483.51,967.02,135,Tienda 1,New Michael,Online,Ropa Statement 15,Ropa,31.13,2,February,452.38
136,2025-04-28,21,6,5,360.67,1803.35,166,Tienda 6,Smithstad,Online,Deportes Protect 21,Deportes,20.35,4,April,340.32
137,2025-04-24,10,2,2,48.13,96.26,184,Tienda 2,South Natasha,Físico,Hogar Occur 10,Hogar,44.91,4,April,3.220000000000006
138,2025-01-04,25,10,4,79.54,318.16,73,Tienda 10,Frederickburgh,Físico,Deportes Spring 25,Deportes,43.45,1,January,36.09
139,2024-11-22,2,5,4,202.19,808.76,130,Tienda 5,New Kristen,Físico,Juguetes Face 2,Juguetes,62.52,11,November,139.67
140,2025-01-05,22,3,3,390.92,1172.76,66,Tienda 3,South Anthony,Online,Electrónica Serve 22,Electrónica,349.9,1,January,41.02000000000004
141,2025-02-25,11,9,4,401.47,1605.88,168,Tienda 9,Nobleside,Físico,Juguetes Seat 11,Juguetes,302.7,2,February,98.77000000000004
142,2025-01-22,50,3,3,260.09,780.27,123,Tienda 3,South Anthony,Online,Electrónica Teacher 50,Electrónica,20.14,1,January,239.95
143,2025-03-25,11,10,2,401.47,802.94,168,Tienda 10,Frederickburgh,Físico,Juguetes Seat 11,Juguetes,302.7,3,March,98.77000000000004
144,2025-03-07,2,2,5,202.19,1010.95,130,Tienda 2,South Natasha,Físico,Juguetes Face 2,Juguetes,62.52,3,March,139.67
145,2025-02-10,37,5,3,216.61,649.83,49,Tienda 5,New Kristen,Físico,Juguetes Beyond 37,Juguetes,373.71,2,February,-157.09999999999997
146,2025-05-20,37,9,4,216.61,866.44,49,Tienda 9,Nobleside,Físico,Juguetes Beyond 37,Juguetes,373.71,5,May,-157.09999999999997
147,2024-12-22,40,5,4,245.98,983.92,156,Tienda 5,New Kristen,Físico,Deportes Specific 40,Deportes,65.72,12,December,180.26
148,2024-12-23,20,5,2,122.66,245.32,117,Tienda 5,New Kristen,Físico,Hogar Reach 20,Hogar,207.12,12,December,-84.46000000000001
149,2024-12-08,24,10,3,498.41,1495.23,9,Tienda 10,Frederickburgh,Físico,Deportes Half 24,Deportes,152.42,12,December,345.99
150,2025-02-12,37,8,1,216.61,216.61,49,Tienda 8,Rushton,Físico,Juguetes Beyond 37,Juguetes,373.71,2,February,-157.09999999999997
151,2025-01-11,45,5,2,295.48,590.96,164,Tienda 5,New Kristen,Físico,Juguetes Little 45,Juguetes,90.19,1,January,205.29000000000002
152,2025-05-13,9,4,2,261.46,522.92,181,Tienda 4,Murphyshire,Físico,Ropa Against 9,Ropa,112.32,5,May,149.14
153,2025-02-25,3,10,5,258.87,1294.35,85,Tienda 10,Frederickburgh,Físico,Deportes Notice 3,Deportes,21.45,2,February,237.42000000000002
154,2024-12-27,50,5,5,260.09,1300.45,123,Tienda 5,New Kristen,Físico,Electrónica Teacher 50,Electrónica,20.14,12,December,239.95
155,2025-04-15,48,1,4,294.3,1177.2,46,Tienda 1,New Michael,Online,Juguetes Rule 48,Juguetes,378.19,4,April,-83.88999999999999
156,2025-03-20,29,9,3,485.34,1456.02,47,Tienda 9,Nobleside,Físico,Ropa Art 29,Ropa,268.71,3,March,216.63
157,2025-01-23,33,5,1,348.54,348.54,157,Tienda 5,New Kristen,Físico,Electrónica Significant 33,Electrónica,261.94,1,January,86.60000000000002
158,2025-03-05,25,6,2,79.54,159.08,73,Tienda 6,Smithstad,Online,Deportes Spring 25,Deportes,43.45,3,March,36.09
159,2025-05-09,12,6,3,184.91,554.73,160,Tienda 6,Smithstad,Online,Electrónica Election 12,Electrónica,250.44,5,May,-65.53
160,2024-12-24,42,7,1,66.76,66.76,54,Tienda 7,West Chadborough,Online,Juguetes Inside 42,Juguetes,271.07,12,December,-204.31
161,2025-04-04,31,10,2,462.0,924.0,4,Tienda 10,Frederickburgh,Físico,Ropa Across 31,Ropa,341.72,4,April,120.27999999999997
162,2024-12-07,31,2,4,462.0,1848.0,4,Tienda 2,South Natasha,Físico,Ropa Across 31,Ropa,341.72,12,December,120.27999999999997
163,2025-03-20,37,10,1,216.61,216.61,49,Tienda 10,Frederickburgh,Físico,Juguetes Beyond 37,Juguetes,373.71,3,March,-157.09999999999997
164,2025-01-16,25,3,4,79.54,318.16,73,Tienda 3,South Anthony,Online,Deportes Spring 25,Deportes,43.45,1,January,36.09
165,2025-03-04,31,5,2,462.0,924.0,4,Tienda 5,New Kristen,Físico,Ropa Across 31,Ropa,341.72,3,March,120.27999999999997
166,2025-04-22,41,10,5,417.76,2088.8,34,Tienda 10,Frederickburgh,Físico,Electrónica Probably 41,Electrónica,123.98,4,April,293.78
167,2025-02-06,4,8,4,467.99,1871.96,135,Tienda 8,Rushton,Físico,Electrónica Five 4,Electrónica,265.94,2,February,202.05
168,2025-02-10,32,9,2,365.56,731.12,169,Tienda 9,Nobleside,Físico,Juguetes Song 32,Juguetes,194.76,2,February,170.8
169,2025-03-30,4,1,3,467.99,1403.97,135,Tienda 1,New Michael,Online,Electrónica Five 4,Electrónica,265.94,3,March,202.05
170,2024-12-27,49,6,2,336.82,673.64,168,Tienda 6,Smithstad,Online,Deportes Bag 49,Deportes,107.5,12,December,229.32
171,2025-03-27,41,6,3,417.76,1253.28,34,Tienda 6,Smithstad,Online,Electrónica Probably 41,Electrónica,123.98,3,March,293.78
172,2024-12-28,30,8,3,467.99,1403.97,158,Tienda 8,Rushton,Físico,Electrónica Character 30,Electrónica,32.57,12,December,435.42
173,2024-11-30,49,3,5,336.82,1684.1,168,Tienda 3,South Anthony,Online,Deportes Bag 49,Deportes,107.5,11,November,229.32
174,2025-04-04,21,7,2,360.67,721.34,166,Tienda 7,West Chadborough,Online,Deportes Protect 21,Deportes,20.35,4,April,340.32
175,2025-02-16,41,4,1,417.76,417.76,34,Tienda 4,Murphyshire,Físico,Electrónica Probably 41,Electrónica,123.98,2,February,293.78
176,2024-12-14,11,7,3,401.47,1204.41,168,Tienda 7,West Chadborough,Online,Juguetes Seat 11,Juguetes,302.7,12,December,98.77000000000004
177,2025-03-24,44,9,1,307.58,307.58,181,Tienda 9,Nobleside,Físico,Electrónica Sell 44,Electrónica,167.65,3,March,139.92999999999998
178,2024-12-05,48,1,3,294.3,882.9,46,Tienda 1,New Michael,Online,Juguetes Rule 48,Juguetes,378.19,12,December,-83.88999999999999
179,2024-11-21,23,9,4,312.51,1250.04,133,Tienda 9,Nobleside,Físico,Deportes About 23,Deportes,177.18,11,November,135.32999999999998
180,2025-04-21,36,6,2,331.35,662.7,67,Tienda 6,Smithstad,Online,Electrónica Around 36,Electrónica,39.18,4,April,292.17
181,2025-01-14,25,7,1,79.54,79.54,73,Tienda 7,West Chadborough,Online,Deportes Spring 25,Deportes,43.45,1,January,36.09
182,2025-03-03,30,10,4,467.99,1871.96,158,Tienda 10,Frederickburgh,Físico,Electrónica Character 30,Electrónica,32.57,3,March,435.42
183,2025-03-03,39,7,2,201.94,403.88,13,Tienda 7,West Chadborough,Online,Ropa Sense 39,Ropa,112.96,3,March,88.98
184,2024-12-29,50,10,1,260.09,260.09,123,Tienda 10,Frederickburgh,Físico,Electrónica Teacher 50,Electrónica,20.14,12,December,239.95
185,2024-12-17,35,5,5,379.7,1898.5,39,Tienda 5,New Kristen,Físico,Deportes Law 35,Deportes,109.89,12,December,269.81
186,2024-11-20,29,1,1,485.34,485.34,47,Tienda 1,New Michael,Online,Ropa Art 29,Ropa,268.71,11,November,216.63
187,2025-03-27,4,5,1,467.99,467.99,135,Tienda 5,New Kristen,Físico,Electrónica Five 4,Electrónica,265.94,3,March,202.05
188,2024-12-18,15,5,1,483.51,483.51,135,Tienda 5,New Kristen,Físico,Ropa Statement 15,Ropa,31.13,12,December,452.38
189,2024-12-10,27,8,1,166.94,166.94,146,Tienda 8,Rushton,Físico,Ropa Decade 27,Ropa,74.83,12,December,92.11
190,2025-02-22,38,8,3,392.0,1176.0,100,Tienda 8,Rushton,Físico,Electrónica Budget 38,Electrónica,112.89,2,February,279.11
191,2025-02-17,1,7,4,275.4,1101.6,10,Tienda 7,West Chadborough,Online,Electrónica Blue 1,Electrónica,116.96,2,February,158.44
192,2025-03-03,19,7,5,409.56,2047.8,78,Tienda 7,West Chadborough,Online,Ropa Skill 19,Ropa,95.48,3,March,314.08
193,2025-02-05,36,8,3,331.35,994.05,67,Tienda 8,Rushton,Físico,Electrónica Around 36,Electrónica,39.18,2,February,292.17
